"","true","tpm","rf","brt_tpm","brt","brt_sprs"
"1792",6992,8793.0290349016,2118.89403676901,4934.99827336589,3550.7954661559,4394.93814630579
"1793",905,2961.73809281912,640.55214701956,1052.57160026723,-70.2318250672164,909.777433963254
"1794",90,2195.81908798792,729.630635732875,1315.14493603706,841.983311340897,926.860705279955
"1795",1109,1211.08001003802,1092.79873577824,2373.20203815504,3304.99921815142,2994.18605905634
"1796",1230,3059.36161755752,4875.33170864011,3983.65926163506,4001.25774287135,3463.5248963282
"1797",302,2785.74931753722,788.093276545279,3060.83264697945,2798.95888458123,2411.72268354963
"1798",963,2703.80728185989,1047.75854492326,1748.01133778064,1562.3174042344,1667.11476997439
"1799",16956,1874.69849456144,1889.18643353801,2104.69169061442,2059.96776068502,2067.8605137045
"1800",1960,3980.43804102513,2026.22210144134,4090.23113505481,4237.20482422527,3346.17987921831
"1801",124390,5728.91561586249,6161.18871525483,4778.61737527177,5208.14704088922,5353.08735251022
"1802",111,923.61676043182,942.660684313159,-127.863217696788,349.211083266559,304.447919338853
"1803",168,1077.01985007332,883.411551672589,1386.26013638014,1042.80127976734,1512.16036020004
"1804",0,2100.8089246506,1665.18778921289,1223.67593867968,1328.26722706185,1136.91906014746
"1805",564,2738.97090750261,3597.69635254265,5239.84403329219,4592.17926163083,5203.01036531585
"1806",0,1645.0900575777,439.224017703605,65.8922704985085,-13.9888121598374,409.554460095623
"1807",1368,4649.4990318133,5514.18820603252,6026.20060164357,5448.02687291116,4618.53108697011
"1808",43,428.197108267611,133.690425358603,-95.9329128458465,-551.019679791896,-631.95217205927
"1809",356,6341.77049310178,3370.34584891638,4619.49346804479,4567.49089031331,4489.74608860006
"1810",1938,1254.69257726715,395.073975433019,494.945879161362,380.453925273324,289.14419509223
"1811",0,1774.85628139223,1085.03478588951,312.755280066769,-35.0254642912038,117.469182619693
"1812",16,1147.31185625999,612.02521937527,1206.84494813769,1000.27979541426,952.760542301221
"1813",5802,13548.6271713579,25357.0736610247,16950.4294633937,17340.9179825463,16387.0917166041
"1814",3288,1937.55854671212,967.47950738626,1437.9815353812,1182.38236738133,1209.46776490429
"1815",270,2288.13148328159,1750.89687385028,1341.57182453752,1229.29638110284,1099.6923387997
"1816",5413,13609.5174684847,7750.42597115637,8005.71055307595,7395.4904031538,7439.65739401661
